"HITID","Tweet","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"2RVZXR24SMEZCC0TCWE928P912QH0G","Romney: Obama has done nothing for this except bring up our National Debt. Its at 16.5 trillion if you did not know! Obama: #IAdmitThat","A3I9UOCM5EXMR2","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:23:28 UTC 2012"
"26U6SK9RJ85OCSDP9W1AXMOOT4VT5M","RT @FGreezy_: Mitt Romney can go suck some ballz!","A3I9UOCM5EXMR2","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:10:55 UTC 2012"
"2EKQ45UUKQOYTXW7TXJ8WG0136ADVV","Romney o Barack? ME FUI CON OBAMAAA /o/ .","A182JW8U6PO60U","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 14:45:52 UTC 2012"
"2WIOHOVR14IXXYGW1C8EKWA602G674","Dunia Lebih Menyukai Obama Daripada Romney http://t.co/MuhJ8U65","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 20:20:02 UTC 2012"
"26ZIT3HVWAVKVGGYB0T1F2Z9CPZEM8","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 14:32:00 UTC 2012"
"2F5J92NJKM05OWX4MRPWAGTPCQSE99","RT @AmazingBobby: My timeline lookin like: Obama Obama Obama Fuck Romney Obama Obama And some hoe talkin bout' she lonely.","AMAAE4PQGWD99","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 16:29:50 UTC 2012"
"2W20COK2JE1MKZYV1VIWEOZAFZMTMD","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 20:34:52 UTC 2012"
"2BZYW2GTP9RAK2J7EBX96SOFAZ1OTN","@WomensHumor: Group costume idea: Binder full of women. Hahaha #romney","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 21:17:22 UTC 2012"
"2XNTYMNCWYB4MPN3K28X91JOQRBLPY","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","AMAAE4PQGWD99","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:13:20 UTC 2012"
"24BBJ3MMDX5F2H1HUU8BHMDXRHGZDH","WOW! RT @conservotop: @WDMSteve @hankpannell @MDForMitt John McLaughlin Poll Romney 49 Obama 46 Susquehanna Romney... http://t.co/ScYtUCQs","AMAAE4PQGWD99","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:28:13 UTC 2012"
"25XXRDS4IC1EBN18BPD19A2IYXMZWQ","RT @Official_Ebony: Why Is Mitt Romney on my TL ? Tf ?","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:20:57 UTC 2012"
"2NJ8N46UXFCDHFBN63ED0NTKLMLTR1","RT @kcole0: #Romney thinks seniors only worry about their own healthcare. and not their kids' healthcare. Tells how HE thinks. #p2 #Flor ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 20:33:25 UTC 2012"
"22DWJ5OPB0YVT9M9E627MP9U60K5XI","RT @Jayyoxox: If romney is elected president i'm packing my bags and looking for what island Tupac is stationed.","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 20:14:13 UTC 2012"
"29JCSTMOFXRD5EWNTOPDVXJFP0JTQ0","RT @CampaignSosa300: Mitt Romney Gone take away weave if he become President. hoes gone be walkin around looking like Lil Bill &amp; Cal ...","A3UX2FXA3NMJCS","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 14:59:41 UTC 2012"
"2FC98JHSTLB3YATMBJ9OJJEJUDDRFR","Dont 4get to Vote! We dont want someone like Romney in office..Lord knows what will happen to our county if he did get in office. #VoteorDie","A2J0MGJFLGQOO5","hopeful","AMAAE4PQGWD99","hopeful","Yes","hopeful","Mon Nov 12 16:35:18 UTC 2012"
"2P0UB2YU98JH53ZMVVRFJJ9IRA1MAL","RT @JeffreyFeldman: Romney ""looked Presidential""? Really? Presidents lie &amp; blather incoherently? GOP flacks have taken over the head ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 14:45:36 UTC 2012"
"2FK4E6AUBXHW5RLQDJ0VJZWDUKFX1S","RT @thinkprogress: After bashing government spending. Romney campaigns at national landmark built by The New Deal http://t.co/qIPRh5uI # ...","A2J0MGJFLGQOO5","mocking","A53VNQRRFQ785","mocking","Yes","mocking","Mon Nov 12 23:41:08 UTC 2012"
"27JSNQQ7Q670IB4V4XI1ATQC4W4AU1","RT @mfaulkner65: Latest Gallup Poll: ROMNEY - 52% OBAMA - 45% NO SITTING PRESIDENT UNDER 50% HAS EVER GOTTEN RE-ELECTED!!!!! #TCOT #GOP  ...","A2J0MGJFLGQOO5","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 14:25:05 UTC 2012"
"25C3K4F0OHOV4BITPUF2T92HHBF21N","Mitt Romney lashes President Obama in debate http://t.co/g0BPZcBL","A2J0MGJFLGQOO5","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 15:02:22 UTC 2012"
"2K5AB6BFMFFOB8W4T3AFLGESFZ9WJ2","Dunia Lebih Menyukai Obama Daripada Romney http://t.co/kKXhAetv #barackobama #BBC","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Tue Nov 13 00:00:01 UTC 2012"
"25HFYQS1CSTM1PB252VIK1EYGMFOLK","@Eat_MyFrooties get you deep throat syphilis having ass ole mitt romney looking ass.  Ole Salvation Army havibg ass bitch","A182JW8U6PO60U","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 14:44:54 UTC 2012"
"2NCXFCD45XCE6XR3F3BIV3TGS3IWYW","Tell us who you believe won Monday night's presidential debate http://t.co/ehmedPJH #Romney. #Obama. #Democrats. #Republicans. #GOP","AMAAE4PQGWD99","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:22:36 UTC 2012"
"2V9ILKH1Q6SV3IVJ0WHUEL5OEUUJ0N","Mitt Romney = The Devil","AMAAE4PQGWD99","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:27:16 UTC 2012"
"2DGB49F9SSSHABFUGXJTDH5FBIMWSI","RT @_StepCoolAF: Shit Already Hard &amp; Romney Stupid Ass Wanna Make it Worse #GodBlessAmerica !!! #PLEASE","A1Y6CLBM5VJQKD","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 15:00:31 UTC 2012"
"2WAVGULF395S9G1RTPJ3VYNJEXXPBF","RT @tpac245: @haiderworld @haldonahue @USRealityCheck","A3UX2FXA3NMJCS","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 15:05:53 UTC 2012"
"2ZKKYEPLSP75XV0HOTUOIHQETU1QWN","RT @_ArjuDivaEnt: - Obama vs. Romney . . .  RETWEET for Obama &amp; ; Favorite for Romney .","AMAAE4PQGWD99","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:38:10 UTC 2012"
"23WZZ2MIKMN97I3KQDZT4WXI6RC8PZ","Presidential debate fact check: Romneys apology tour claims.  http://t.co/sddAuwhT via @nationalpost","A2J0MGJFLGQOO5","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Mon Nov 12 14:31:55 UTC 2012"
"2Y48JIA0RYNJMC1UCWR5JMJTXGG617","Romney changes positions more often than a fucking whore. it's really hard to follow this nut job. this guy has absolutely no moral fiber","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:30:56 UTC 2012"
"2KXDEY5COW0LT1DE0MIFTC6VQTI4VA","RT @JoeBiden: VP Biden on Romney: Governor. you can't run from the truth. You can't run from your record. You can't run from your polic ...","A1Y6CLBM5VJQKD","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 18:33:17 UTC 2012"
"2F6CCF0CP5KX23WYASOYO4PMAMGWVN","@PeytonList Obama or Romney?:D #AskPeytonList 1","A182JW8U6PO60U","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 14:44:22 UTC 2012"
"2AG24E6AUBXH92VI7V093BZWGQ2W0U","WOW! RT @conservotop: @WDMSteve @hankpannell @MDForMitt John McLaughlin Poll Romney 49 Obama 46 Susquehanna Romney 49-BHO 45 This Good...","A2J0MGJFLGQOO5","happy","ATBZC1F0M7F2F","happy","Yes","happy","Mon Nov 12 20:01:38 UTC 2012"
"2FNPQJQ9OPLLAML5E1OGGKCO2KE1ZU","RT @exame_com: Charges e imagens satirizando fala do candidato Mitt Romney agitam campanha presidencial nos EUA http://t.co/hNIhH2nf","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 23:08:48 UTC 2012"
"2Q9J85OZIZEHZKO0EYFQDEWP0KFAYZ","http://t.co/STGxjUmD: white. male. rich. never served in military. privileged. but finally apologizes for physical threat to 1st black pres","A2J0MGJFLGQOO5","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Mon Nov 12 14:28:45 UTC 2012"
"23WZZ2MIKMN97I3KQDZT4WXI6RCP8G","RT @NolteNC: How long before Obama deploys Bill Ayers? --&gt; Obama Sics His Freaks On Romney: Allred. Sullivan. Wright http://t.co/grv ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 20:05:25 UTC 2012"
"248Y2RCJK63Z8OHSJABUQAQ9MKN6VW","RT @johnrogers411: York: Romney. not Obama. shows concern for nation's poor | Mobile Washington Examiner","A1Y6CLBM5VJQKD","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 14:57:36 UTC 2012"
"23T3Q39Z0B6U6YK4WOMS1VRKJOELWT","RT @jaclynislame: Romney thinks instagram is something involved with drugs.....alrighty. #Idiot","A1Y6CLBM5VJQKD","funny","A2J0MGJFLGQOO5","funny","Yes","funny","Tue Nov 13 02:07:50 UTC 2012"
"2Y7CGJ2D21O39FBSSTGP0I2K1D76CX","Roses are red &amp;tupac is black ..I'm gettin A tattoo... &amp;Mitt Romney is whack :)","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 22:12:53 UTC 2012"
"2I2274J79KQWJBMYWGLXNCD48WUGIB","RT @Clickman8: AXELROD &amp; Co. are like SPIDERS SPINNING Webs of LIES &amp; DECEIT enveloping the TRUTH about OBAMA &amp; sucking the  ...","A2J0MGJFLGQOO5","angry","A3UX2FXA3NMJCS","angry","Yes","angry","Mon Nov 12 14:41:19 UTC 2012"
"2BXBNFSVGULFGJJ3OGEG9FS3QX67LE","http://t.co/gNMAJsp3 Gloria Allred's 'October surprise:' The celebrity attorney( did romney giv d mormon weenie to women he counselled?","AMAAE4PQGWD99","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 16:20:03 UTC 2012"
"2NA8SV7WGKCC8VZE4KU3UHAPT3UR1Q","Romney... the new slender man? http://t.co/vQseALZt","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 22:12:31 UTC 2012"
"2NVG67D1X3V0SUENGUTJM1M7SJ2BIP","RT @DreamChaserZeek: Y'all want Romney as president? Read this. http://t.co/JsLNBdMD","A2J0MGJFLGQOO5","angry","A53VNQRRFQ785","angry","Yes","angry","Mon Nov 12 23:35:53 UTC 2012"
"2P1IA0RYNJ920TYXSF2MRTUH1VK83N","RT @tnr: Dan Senor is a spin guy. a pol. Why does Romney listen to a foreign policy adviser with no foreign policy expertise? http://t.c ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:06:00 UTC 2012"
"2QHJMJUNU8LZJ1LB8FI9GD8J6UW1H3","ROMNEY LOOK LIKE HE WILL TURN ON YOU!!","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:37:22 UTC 2012"
"2DSVKI62NJQ2EHGA1JHHEBKLFUWTLB","Im at the point where I think romney is ""mind-fucking"" us all. What are his TRUE intentions?","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 15:06:39 UTC 2012"
"2P0UB2YU98JH53ZMVVRFJJ9IRA1AM9","@PeytonList Obama or Romney?:D #AskPeytonList :)","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 23:59:28 UTC 2012"
"2HXK0COK2JE1ZH3VCJCR46OZDBHSLK","Is there a good roundup on the web somewhere that highlights why Romney is anti-woman? (cc @tiredfairy @Shakestweetz )","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 16:21:47 UTC 2012"
"2FE2GTP9RA7SI60CYJPSWF70MLZQVD","Gov. Romney Looks to Rebuild Frayed Alliances With Missile Defense http://t.co/pd3NFE6a #tcot","A2J0MGJFLGQOO5","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 21:42:36 UTC 2012"
"2IUSTMOFXRDSHSQC684N5JFM40SRUQ","Obama's Plan = 'Bitches get stitches'","A2J0MGJFLGQOO5","mocking","A53VNQRRFQ785","mocking","Yes","mocking","Mon Nov 12 23:31:59 UTC 2012"
"24UWYB49F9SS5RBCTTFN0T5H8EQQUO","ROMNEY ROASTS OBAMA AT NYC EVEN","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 20:51:25 UTC 2012"
"26EZ9RNDWIOVE2L3FD4TOU131CHUFY","Estos gringos pelendose en Tumblr sobre si es mejor Obama o Romney.","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 20:22:01 UTC 2012"
"2776AUC26DG6KNF8V5RFS0CON11B4A","RT @JosephG_: Romney said "" when I'm president ! "" LMFAOOO  I'VE FALLEN AND I CAN'T GET UP . http://t.co/Mvj0zeNa","AMAAE4PQGWD99","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Mon Nov 12 16:38:05 UTC 2012"
"2S4JTUHYW2GT2J5LZ2WWU1691R6PKZ","@Ms_LindaLou Lindsey Lohan is endorsing Mitt Romney... As if she has ANY political credibility whatsoever","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 20:00:17 UTC 2012"
"2QC8P9Y38TWWASH3M89M8JTAJMOIZ2","Romney throws out the word PEACE a few times. but what does that mean?","A2J0MGJFLGQOO5","afraid","ATBZC1F0M7F2F","afraid","Yes","afraid","Mon Nov 12 20:47:57 UTC 2012"
"23OIAA2SEIUU7AEZIUBACIISBRKOO1","@TaylorAshtonnn Yeah I'm sure dirt would do a great job. oh wait. you already like Romney.","A2J0MGJFLGQOO5","mocking","ATBZC1F0M7F2F","mocking","Yes","mocking","Mon Nov 12 20:49:16 UTC 2012"
"2ROX3YOCCF0C2FY8H39NQIXYJ36SRA","Left Clings to Abortion in Desperate Anti-Romney Strategy http://t.co/5rxkxNAY HOW CAN PEOPLE BUY THIS? AMERICA. OPEN YOUR EYES!","AMAAE4PQGWD99","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:20:43 UTC 2012"
"2SKYU98JHSTLODZB7LA9QOBJHI9DPA","RT @s0ularflares: Mitt Romney wants to make tampons illegal does he think this is a motherfucking game you don't have a vagina man you d ...","A2J0MGJFLGQOO5","funny","A3UX2FXA3NMJCS","funny","Yes","funny","Mon Nov 12 20:04:44 UTC 2012"
"2WL95SW6NG1F5D19FT2YN1FZVY2VHL","Romney need to jump off a bridge we don't like you lying bih","AMAAE4PQGWD99","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:31:02 UTC 2012"
"20LNAB6BFMFF18CTLBKJNDGEVBIIV2","@AprilThorn2 I admire Mitt's strategy. Others disappointed about Libya. I think Romney very smart.  We need that from a Pres.","A1Y6CLBM5VJQKD","hopeful","A2J0MGJFLGQOO5","hopeful","Yes","hopeful","Mon Nov 12 14:56:32 UTC 2012"
"2D15OPB0YVGZL8073H5PHU3156DZ7O","Barack Obama's small town guns and religion comments - http://t.co/JcPmGh04 Obama writes off all these people just like he accuses Romney.","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 14:37:28 UTC 2012"
"27DJ8EBDPGFLJ5Q0O90RVDWIRUJ1G4","Dunia Lebih Menyukai Obama Daripada Romney http://t.co/a5DD5NQV","A1Y6CLBM5VJQKD","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 15:40:30 UTC 2012"
"2J392HECWA6XG82N4PRCX5KXSS0JKT","@seanhannity @DanaPerino @Reince @DavidLimbaugh Move Forward-- Romney need campaign at closed Refinery. Power Plant San Juaquin Valley","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 16:32:38 UTC 2012"
"214N9U8P9Y3866A8ADJU6IM0MSSWFZ","RT @AlecMapa: Anyone Freaking Out Over Romney OWNING the Voting Machines Used in Ohio?! | Unicorn Booty http://t.co/xxJ2OwQN via @sharethis","A182JW8U6PO60U","angry","A2J0MGJFLGQOO5","angry","Yes","angry","Mon Nov 12 23:33:56 UTC 2012"
"24XSVGULF39556KY8B6SBNYNMAGAOO","Obamabots desperate now! http://t.co/6K1j2Dvw Go ahead. dumba$$es..riot. Kill each other &amp; save US TAXPAYERS the trouble. #tcot","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 21:44:50 UTC 2012"
"2N2W4ZMAZHHR4VT1SYEN3RH1NG6JAE","This nigga Mitt Romney ain't got a top Lip! That's why I don't trust him..","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 21:46:37 UTC 2012"
"28RZJMJUNU8LCG5ISQWRH8D8M2DG0G","RT @AnnCoulter: I highly approve of Romney's decision to be kind and gentle to the retard.","A182JW8U6PO60U","mocking","A2J0MGJFLGQOO5","mocking","Yes","mocking","Tue Nov 13 02:04:54 UTC 2012"
"2ZB3HVWAVKI6FXX1UBY2799QK5TOGE","#ImSayinDoe I'm not voting for Romney bc his name is Mitt. I'm done","AMAAE4PQGWD99","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 16:18:19 UTC 2012"
"2CYULF395SW60QFQKDEYVJBYI0XRDG","Il web ironizza sull'ultimo dibattito televisivo Romney-Obama http://t.co/2L5oKV80","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 14:45:56 UTC 2012"
"2FNCOW0LGRZ3LM5QDMXVVUZWGQJZ8B","RT @nytimes: Watch the complete video and browse the transcript of the final debate between Obama and Romney: http://t.co/mDwdeaBs","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:18:26 UTC 2012"
"2FN8B727M0IGSUVOTGPF0VF4YH6XCI","Pour l'lection #US  Ohio est dcisif  avec des machines  voter lgrement dfectueuses que contrle fiston #Romney http://t.co/661wA227","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 21:06:22 UTC 2012"
"2JGU98JHSTLBGVEQ3T0IWBJEMQWEQV","RT @cmccaff542: WOW RT @JJsassypants","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 19:40:02 UTC 2012"
"295TL0XULRGN6LXEEW4XDFP7Q5K3P2","RT @BarackObama: RT if you agree: We cant afford Mitt Romneys failed policies of the past. We need to keep moving forward. http://t.co ...","AMAAE4PQGWD99","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 16:25:02 UTC 2012"
"2TOSK9RJ85OZV9SSEK1PUOOQ8DE6U7","RT @BlackChuckTodd: This Trump thing is just Noise to Distract from the fact that Gloria Allred is having Romney testimony unsealed in C ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 20:46:09 UTC 2012"
"2BI0OQKKA4II5I6DMCX88EW0FZQZZG","RT @Rockprincess818: Romney clearly won all three debates right down to the coin tosses! Now it is time for America to win by voting for ...","AMAAE4PQGWD99","hopeful","ATBZC1F0M7F2F","hopeful","Yes","hopeful","Mon Nov 12 16:30:09 UTC 2012"
"2Y4VHVKCJ011XCLFBH0KYW61BMM86T","@President","A15MK127K9F2DZ","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 14:40:11 UTC 2012"
"2F6CCF0CP5KX23WYASOYO4PMAMFVWL","RT @iAmKeious: Lmao  RT @KeriHilson just voted for ROMNEY. you lazy Bitches fuckin up the economy. *nicki voice* http://t.co/SwRBoIqn","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 21:03:04 UTC 2012"
"2RHHHRRLFQ0O0X929BBHW9EGUAPGPN","RT @katemoennig: Romney's George Hamilton tan is gone. Summer is officially over.","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 16:18:03 UTC 2012"
"2C88H88MQU6LIYP64SSR5X4ALIWTAS","Voting for Romney is a step or 20 steps backwards. He cannot relate to people who HAVE to work every day. Since that's most of us: think","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 20:51:32 UTC 2012"
"27MJ3NAB6BFMSP29QSK11JFDJD9TG4","RT @DOPE_ShxtxD: Mitt Romney gone take away weave if he become president. hoes gone be walking around looking like lil bill","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 20:01:48 UTC 2012"
"2H6HOVR14IXK1CZKUR5C4A6X6X678R","Il web ironizza sull'ultimo dibattito televisivo Romney-Obama http://t.co/5akmD6tm","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 16:24:15 UTC 2012"
"2OMJ79KQW6180EK5PP3DC5XCHS5JLW","RT @hmfearny: So strange. the media isn't hyperventilating over Romney crowds like they did Obama's in 08. I don't understand.","A182JW8U6PO60U","none / other","A1Y6CLBM5VJQKD","none / other","Yes","none / other","Mon Nov 12 15:38:55 UTC 2012"
"2IFERSQV66RL2RW4VRMWIVKI915B3P","Aw. @BryanJFischer just updated his relationship status with Mitt Romney to ""It's Complicated"" https://t.co/o9fd5iLx (again)","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","funny","Yes","funny","Mon Nov 12 20:04:20 UTC 2012"
"2ECYT3DHJHP4ONRV8EP8ZSX902YU1X","In last night's debate. President Obama made a sarcastic comment to Mitt Romney about having ""fewer horses and... http://t.co/7AUEbgZ3","A1Y6CLBM5VJQKD","none / other","A3UX2FXA3NMJCS","none / other","Yes","none / other","Mon Nov 12 15:37:09 UTC 2012"
"2KFUYT3DHJHPHLROCQVYGRSXCWKT01","@frontroyalgirl @TruthTeam2012 This guy lied about his positions. broken many of his ""promises"" yet you defend him. I do not support romney","AMAAE4PQGWD99","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 16:21:59 UTC 2012"
"2NPD1X3V0FK0PYYDBOSMFPKKCK9EL6","Mitt Romneys father George was born in Chihuahua. Mexico in 1907. the son of Gaskell Romney and Anna Amelia Pratt. http://t.co/DuGrRprJ","A1Y6CLBM5VJQKD","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 14:55:55 UTC 2012"
"2RKSEIUUU00O3UYLWS9SGS2U55PSSY","RT @DopeAhh_RedBone: Mitt Romney Gone Take Away Weave If He Become President . Hoes Gone Be Walking Around Looking Like Lil Bill..","A2J0MGJFLGQOO5","funny","A3UX2FXA3NMJCS","funny","Yes","funny","Mon Nov 12 21:16:03 UTC 2012"
"2UWY5COW0LGRCDMNJPCCEVNU2VVX6Q","Is the whole ""Mitt Romney's son owns the company that owns the voting booths in Ohio"" story true. or exaggerated? If so. yikes.","A1Y6CLBM5VJQKD","afraid","ATBZC1F0M7F2F","afraid","Yes","afraid","Mon Nov 12 15:27:28 UTC 2012"
